Type,Start,End,Duration,Extra,Extra2,Note
Right breast,20/7/2017 16:57,20/7/2017 17:00,0:02,,,
Vaccination,20/7/2017 16:47,20/7/2017 16:50,0:03,,,
Bottle feeding,20/7/2017 16:38,,0:00,0.5 oz,Mom's milk,.5 Fortify
Bottle feeding,20/7/2017 16:14,,0:00,2.5 oz,Mom's milk,2.5 Fortify
Pumping,20/7/2017 15:47,,0:00,1.56 oz,,46 ml. 24L + 22R
Right breast,20/7/2017 15:43,20/7/2017 15:44,0:00,,,
Left breast,20/7/2017 15:32,20/7/2017 15:43,0:10,,,sleepy eating
Right breast,20/7/2017 15:27,20/7/2017 15:32,0:05,,,
Diaper,20/7/2017 15:22,,0:00,Urine,,
Sleep,20/7/2017 12:40,20/7/2017 15:22,2:41,,,
Diaper,20/7/2017 12:01,,0:00,Urine,,
Sleep,20/7/2017 11:55,,0:00,,,
Sleep,20/7/2017 11:55,20/7/2017 12:01,0:06,,,
Bottle feeding,20/7/2017 11:43,,0:00,1.0 oz,Mom's milk,1. Fortify
Bottle feeding,20/7/2017 11:36,,0:00,1.0 oz,Mom's milk,
Pumping,20/7/2017 11:10,,0:00,1.35 oz,,40 ml. 15L + 25R
Bottle feeding,20/7/2017 11:03,,0:00,,Mom's milk,1. Fortify
Bottle feeding,20/7/2017 10:57,,0:00,0.7 oz,Mom's milk,
Diaper,20/7/2017 10:49,,0:00,"Urine, Feces",,
Bottle feeding,20/7/2017 10:48,,0:00,,Mom's milk,
Right breast,20/7/2017 10:46,20/7/2017 10:48,0:02,,,
Left breast,20/7/2017 10:34,20/7/2017 10:45,0:11,,,sleepy
Vaccination,20/7/2017 10:30,20/7/2017 10:33,0:03,,,
Right breast,20/7/2017 10:22,20/7/2017 10:24,0:01,,,
Diaper,20/7/2017 10:13,,0:00,"Urine, Feces",,
Pumping,20/7/2017 08:39,,0:00,2.71 oz,,80 ml. 43L + 37R
Sleep,20/7/2017 08:10,20/7/2017 10:08,1:57,,,
Bottle feeding,20/7/2017 08:07,,0:00,0.6 oz,Mom's milk,
Sleep,20/7/2017 06:48,20/7/2017 08:05,1:17,,,
Diaper,20/7/2017 06:47,,0:00,Urine,,
Bottle feeding,20/7/2017 06:21,,0:00,2.7 oz,Mom's milk,4
Pumping,20/7/2017 06:08,,0:00,5.58 oz,,165 ml. 83L + 82R
Sleep,19/7/2017 22:21,20/7/2017 06:20,7:58,,,
Diaper,19/7/2017 22:15,,0:00,Urine,,
Pumping,19/7/2017 22:14,,0:00,1.66 oz,,49 ml. 23L + 26R
Bottle feeding,19/7/2017 22:06,,0:00,1.0 oz,Mom's milk,1. Fortify
Left breast,19/7/2017 21:43,19/7/2017 21:48,0:04,,,
Right breast,19/7/2017 21:38,19/7/2017 21:43,0:03,,,
Bottle feeding,19/7/2017 21:12,,0:00,2.0 oz,Mom's milk,2. Fortify
Left breast,19/7/2017 20:31,19/7/2017 20:36,0:04,,,
Right breast,19/7/2017 20:21,19/7/2017 20:25,0:02,,,
Vaccination,19/7/2017 20:13,19/7/2017 20:15,0:01,,,
Sleep,19/7/2017 19:00,19/7/2017 19:35,0:34,,,
Diaper,19/7/2017 18:25,,0:00,"Urine, Feces",,
Bottle feeding,19/7/2017 18:04,,0:00,1.9 oz,Mom's milk,1.9. fortify first time
Pumping,19/7/2017 17:46,,0:00,1.89 oz,,56 ml. 22L + 34R
Left breast,19/7/2017 17:35,19/7/2017 17:41,0:05,,,
Right breast,19/7/2017 17:24,19/7/2017 17:35,0:04,,,
Vaccination,19/7/2017 17:21,19/7/2017 17:23,0:02,,,
Diaper,19/7/2017 17:15,,0:00,"Urine, Feces",,
Sleep,19/7/2017 16:05,19/7/2017 17:14,1:09,,,
Bottle feeding,19/7/2017 15:20,,0:00,,Mom's milk,1??
Bottle feeding,19/7/2017 15:09,,0:00,1.0 oz,Mom's milk,1
Bottle feeding,19/7/2017 14:40,,0:00,1.0 oz,Mom's milk,1
Bottle feeding,19/7/2017 14:32,,0:00,0.9 oz,Mom's milk,
Sleep,19/7/2017 13:26,19/7/2017 14:01,0:34,,,
Diaper,19/7/2017 13:12,,0:00,"Urine, Feces",,
Bottle feeding,19/7/2017 12:49,,0:00,0.2 oz,Mom's milk,1.1
Pumping,19/7/2017 12:41,,0:00,1.12 oz,,33 ml. 14L + 19R
Bottle feeding,19/7/2017 12:37,,0:00,2.0 oz,Mom's milk,2
Bottle feeding,19/7/2017 12:31,,0:00,0.2 oz,Mom's milk,
Right breast,19/7/2017 12:25,19/7/2017 12:26,0:00,,,
Left breast,19/7/2017 12:18,19/7/2017 12:24,0:04,,,
Vaccination,19/7/2017 12:15,19/7/2017 12:17,0:02,,,
Right breast,19/7/2017 12:10,19/7/2017 12:12,0:02,,,
Sleep,19/7/2017 11:18,19/7/2017 11:56,0:37,,,
Sleep,19/7/2017 10:51,,0:00,,,
Bottle feeding,19/7/2017 10:46,,0:00,1.3 oz,Mom's milk,
Diaper,19/7/2017 10:15,,0:00,"Urine, Feces",,
Pumping,19/7/2017 10:05,,0:00,1.39 oz,,41 ml. 22L + 19R
Vaccination,19/7/2017 09:43,19/7/2017 09:45,0:02,,,
Bottle feeding,19/7/2017 09:31,,0:00,1.5 oz,Mom's milk,3
Left breast,19/7/2017 09:26,19/7/2017 09:31,0:04,,,
Diaper,19/7/2017 09:22,,0:00,Urine,,
Right breast,19/7/2017 09:16,19/7/2017 09:22,0:05,,,
Bottle feeding,19/7/2017 09:11,,0:00,1.1 oz,Mom's milk,
Pumping,19/7/2017 07:23,,0:00,3.15 oz,,93 ml. 50L + 43R
Sleep,19/7/2017 04:37,19/7/2017 09:09,4:31,,,
Diaper,19/7/2017 04:28,,0:00,Urine,,
Pumping,19/7/2017 04:17,,0:00,4.23 oz,,125 ml.  65L + 60R
Bottle feeding,19/7/2017 04:15,,0:00,2.9 oz,Mom's milk,4
Pumping,18/7/2017 22:14,,0:00,1.89 oz,,56 ml. 28L + 28R
Sleep,18/7/2017 21:38,19/7/2017 04:08,6:30,,,
Bottle feeding,18/7/2017 21:16,,0:00,0.8 oz,Mom's milk,1.5
Diaper,18/7/2017 21:15,,0:00,"Urine, Feces",,
Bottle feeding,18/7/2017 20:50,,0:00,2.0 oz,Mom's milk,2
Left breast,18/7/2017 20:40,18/7/2017 20:44,0:03,,,
Right breast,18/7/2017 20:34,18/7/2017 20:39,0:04,,,
Vaccination,18/7/2017 20:16,18/7/2017 20:19,0:02,,,
Sleep,18/7/2017 19:29,18/7/2017 19:56,0:26,,,
Bottle feeding,18/7/2017 19:10,,0:00,0.5 oz,Mom's milk,
Diaper,18/7/2017 18:52,,0:00,Urine,,
Pumping,18/7/2017 18:39,,0:00,2.1 oz,,62 ml. 30L + 32
Left breast,18/7/2017 18:34,18/7/2017 18:34,0:00,,,
Right breast,18/7/2017 18:32,18/7/2017 18:32,0:00,,,
Vaccination,18/7/2017 17:45,18/7/2017 17:49,0:03,,,
Bottle feeding,18/7/2017 17:21,,0:00,2.2 oz,Mom's milk,2.7
Bottle feeding,18/7/2017 17:12,,0:00,0.4 oz,Mom's milk,
Right breast,18/7/2017 17:07,18/7/2017 17:09,0:01,,,
Left breast,18/7/2017 17:04,18/7/2017 17:07,0:03,,,
Sleep,18/7/2017 16:20,18/7/2017 16:59,0:38,,,
Diaper,18/7/2017 15:44,,0:00,"Urine, Feces",,
Bottle feeding,18/7/2017 15:40,,0:00,1.6 oz,Mom's milk,
Pumping,18/7/2017 15:13,,0:00,1.76 oz,,52 ml.  25L + 27R
Vaccination,18/7/2017 14:54,18/7/2017 14:58,0:04,,,
Vaccination,18/7/2017 14:52,,0:00,,,
Bottle feeding,18/7/2017 14:49,,0:00,0.5 oz,Mom's milk,2.5
Bottle feeding,18/7/2017 14:39,,0:00,1.2 oz,Mom's milk,
Diaper,18/7/2017 14:31,,0:00,Urine,,
Bottle feeding,18/7/2017 14:31,,0:00,,Mom's milk,
Left breast,18/7/2017 14:11,18/7/2017 14:25,0:13,,,sleep eating
Sleep,18/7/2017 13:54,18/7/2017 14:25,0:30,,,
Right breast,18/7/2017 13:48,18/7/2017 14:11,0:21,,,sleep eating
Sleep,18/7/2017 12:17,18/7/2017 13:47,1:30,,,
Sleep,18/7/2017 12:11,,0:00,,,
Vaccination,18/7/2017 12:02,18/7/2017 12:07,0:05,,,
Diaper,18/7/2017 11:43,,0:00,"Urine, Feces",,
Bottle feeding,18/7/2017 11:38,,0:00,0.8 oz,Mom's milk,2
Bottle feeding,18/7/2017 11:29,,0:00,0.2 oz,Mom's milk,
Pumping,18/7/2017 11:06,,0:00,1.83 oz,,54 ml.  22L + 32R
Bottle feeding,18/7/2017 10:43,,0:00,2.5 oz,Mom's milk,2.7
Right breast,18/7/2017 10:29,18/7/2017 10:31,0:01,,,
Left breast,18/7/2017 10:23,18/7/2017 10:29,0:06,,,
Vaccination,18/7/2017 10:18,18/7/2017 10:21,0:03,,,rolled over 3 times!
Diaper,18/7/2017 10:16,,0:00,Urine,,
Pumping,18/7/2017 07:46,,0:00,2.57 oz,,76 ml. 39L + 37R
Sleep,18/7/2017 06:42,18/7/2017 10:09,3:24,,,"on/off sleeping first 40 min, wanted to be held/fed"
Bottle feeding,18/7/2017 06:39,,0:00,0.9 oz,Mom's milk,
Sleep,18/7/2017 05:38,18/7/2017 06:37,0:58,,,
Diaper,18/7/2017 05:27,,0:00,Urine,,
Pumping,18/7/2017 05:19,,0:00,4.84 oz,,143 ml.  72L + 71R
Bottle feeding,18/7/2017 05:18,,0:00,2.7 oz,Mom's milk,4
Sleep,17/7/2017 22:15,18/7/2017 05:10,6:55,,,
Pumping,17/7/2017 22:10,,0:00,1.42 oz,,42 ml.  18L + 24R
Bottle feeding,17/7/2017 22:00,,0:00,0.6 oz,Mom's milk,1.5
Diaper,17/7/2017 22:00,,0:00,"Urine, Feces",,
Bottle feeding,17/7/2017 21:32,,0:00,2.0 oz,Mom's milk,2
Bottle feeding,17/7/2017 21:26,,0:00,,,
Right breast,17/7/2017 21:20,17/7/2017 21:25,0:05,,,
Left breast,17/7/2017 21:15,17/7/2017 21:20,0:05,,,
Right breast,17/7/2017 21:13,17/7/2017 21:14,0:00,,,
Diaper,17/7/2017 21:00,,0:00,Urine,,
Bottle feeding,17/7/2017 20:05,,0:00,3.0 oz,Mom's milk,3
Pumping,17/7/2017 19:22,,0:00,1.79 oz,,53 ml.  24L + 29R
Diaper,17/7/2017 19:15,,0:00,"Urine, Feces",,
Right breast,17/7/2017 19:05,17/7/2017 19:12,0:06,,,
Sleep,17/7/2017 18:51,,0:00,,,
Sleep,17/7/2017 18:50,17/7/2017 19:05,0:15,,,
Left breast,17/7/2017 18:48,17/7/2017 19:05,0:16,,,partially sleep eating
Sleep,17/7/2017 16:35,17/7/2017 18:47,2:11,,,
Diaper,17/7/2017 16:07,,0:00,"Urine, Feces",,
Bottle feeding,17/7/2017 16:05,,0:00,1.0 oz,Mom's milk,
Pumping,17/7/2017 15:37,,0:00,1.86 oz,,55 ml.  27L + 28R
Bottle feeding,17/7/2017 15:17,,0:00,1.5 oz,Mom's milk,3
Right breast,17/7/2017 15:03,17/7/2017 15:08,0:04,,,
Diaper,17/7/2017 14:55,,0:00,"Urine, Feces",,
Left breast,17/7/2017 14:48,17/7/2017 14:55,0:06,,,
Sleep,17/7/2017 13:30,17/7/2017 13:58,0:27,,,
Diaper,17/7/2017 11:50,,0:00,"Urine, Feces",,
Bottle feeding,17/7/2017 11:40,,0:00,3.0 oz,Mom's milk,3
Diaper,17/7/2017 11:37,,0:00,Urine,,
Pumping,17/7/2017 11:03,,0:00,1.25 oz,,37 ml. 19L + 18R
Right breast,17/7/2017 10:16,17/7/2017 10:37,0:20,,,sleep eating
Sleep,17/7/2017 10:01,17/7/2017 11:35,1:33,,,
Left breast,17/7/2017 09:56,17/7/2017 10:16,0:20,,,sleep eating after 6 min
Vaccination,17/7/2017 09:53,17/7/2017 09:55,0:01,,,
Pumping,17/7/2017 08:28,,0:00,2.47 oz,,73 ml. 42L + 31R
Sleep,17/7/2017 06:49,17/7/2017 09:48,2:59,,,
Right breast,17/7/2017 06:43,17/7/2017 06:51,0:06,,,sleep eating after 5 min
Diaper,17/7/2017 06:23,,0:00,Urine,,
Bottle feeding,17/7/2017 06:13,,0:00,4.0 oz,Mom's milk,4.  eat all in 30 min
Pumping,17/7/2017 05:29,,0:00,4.84 oz,,143 ml. 74L + 69R
Pumping,16/7/2017 22:27,,0:00,2.06 oz,,61 ml. 31L + 30R
Sleep,16/7/2017 22:26,17/7/2017 06:08,7:42,,,
Bottle feeding,16/7/2017 22:15,,0:00,0.5 oz,Mom's milk,1
Diaper,16/7/2017 22:10,,0:00,Urine,,
Bottle feeding,16/7/2017 21:53,,0:00,1.3 oz,Mom's milk,1.3
Bottle feeding,16/7/2017 21:40,,0:00,1.7 oz,Mom's milk,
Right breast,16/7/2017 21:31,16/7/2017 21:37,0:05,,,sleep eating
Left breast,16/7/2017 21:15,16/7/2017 21:31,0:16,,,sleep eating
Sleep,16/7/2017 21:08,16/7/2017 21:36,0:27,,,
Right breast,16/7/2017 21:06,16/7/2017 21:14,0:07,,,sleep eating after 3 min
Diaper,16/7/2017 20:45,,0:00,"Urine, Feces",,
Diaper,16/7/2017 20:04,,0:00,Urine,,
Bottle feeding,16/7/2017 19:57,,0:00,1.5 oz,Mom's milk,1.5
Bottle feeding,16/7/2017 19:34,,0:00,1.9 oz,Mom's milk,
Vaccination,16/7/2017 19:03,16/7/2017 19:06,0:02,,,
Pumping,16/7/2017 19:01,,0:00,2.54 oz,,75 ml.  38L + 37R
Sleep,16/7/2017 18:50,16/7/2017 18:57,0:07,,,
Sleep,16/7/2017 18:19,16/7/2017 18:38,0:19,,,
Bottle feeding,16/7/2017 17:47,,0:00,1.1 oz,Mom's milk,3
Bottle feeding,16/7/2017 17:42,,0:00,1.0 oz,Mom's milk,
Diaper,16/7/2017 16:50,,0:00,"Urine, Feces",,
Left breast,16/7/2017 16:46,16/7/2017 16:52,0:05,,,
Right breast,16/7/2017 16:38,16/7/2017 16:46,0:07,,,
Measure,16/7/2017 16:22,,0:00,Weight: 10.125 lb,,Swedish Lytle Center (not appt)
Diaper,16/7/2017 16:22,,0:00,Urine,,
Sleep,16/7/2017 15:10,16/7/2017 15:48,0:38,,,
Pumping,16/7/2017 14:39,,0:00,2.57 oz,,76 ml. 33L + 43R
Diaper,16/7/2017 14:10,,0:00,"Urine, Feces",,
Bottle feeding,16/7/2017 14:05,,0:00,2.1 oz,Mom's milk,3.1
Right breast,16/7/2017 13:56,16/7/2017 14:04,0:01,,,
Right breast,16/7/2017 13:56,16/7/2017 14:34,0:00,,,
Left breast,16/7/2017 13:50,16/7/2017 13:56,0:05,,,
Sleep,16/7/2017 12:10,16/7/2017 12:40,0:30,,,
Diaper,16/7/2017 11:55,,0:00,"Urine, Feces",,
Bottle feeding,16/7/2017 11:29,,0:00,1.1 oz,Mom's milk,1.1
Bottle feeding,16/7/2017 11:20,,0:00,1.9 oz,Mom's milk,1.9
Bottle feeding,16/7/2017 11:10,,0:00,1.0 oz,Mom's milk,
Pumping,16/7/2017 10:12,,0:00,3.11 oz,,92 ml. 51L + 41R
Sleep,16/7/2017 07:27,16/7/2017 10:45,3:18,,,
Diaper,16/7/2017 06:50,,0:00,Urine,,
Pumping,16/7/2017 06:35,,0:00,5.82 oz,,172 ml.  89L + 83R
Bottle feeding,16/7/2017 06:29,,0:00,3.0 oz,Mom's milk,4
Pumping,15/7/2017 22:37,,0:00,2.13 oz,,63 ml.  36L + 27R
Sleep,15/7/2017 22:30,16/7/2017 06:23,7:52,,,
Bottle feeding,15/7/2017 22:26,,0:00,0.2 oz,Mom's milk,1
Diaper,15/7/2017 22:10,,0:00,"Urine, Feces",,
Bottle feeding,15/7/2017 21:54,,0:00,1.1 oz,Mom's milk,1.1
Bottle feeding,15/7/2017 21:40,,0:00,2.0 oz,Mom's milk,2
Right breast,15/7/2017 21:34,15/7/2017 21:36,0:01,,,
Diaper,15/7/2017 21:00,,0:00,Urine,,
Right breast,15/7/2017 20:27,15/7/2017 20:44,0:16,,,sleep eating
Sleep,15/7/2017 20:07,15/7/2017 20:43,0:34,,,
Left breast,15/7/2017 20:06,15/7/2017 20:27,0:20,,,sleep eating
Bottle feeding,15/7/2017 19:39,,0:00,1.5 oz,Mom's milk,1.5. Stage 2 nipple
Diaper,15/7/2017 19:15,,0:00,"Urine, Feces",,
Vaccination,15/7/2017 18:46,15/7/2017 18:49,0:02,,,
Pumping,15/7/2017 18:45,,0:00,1.56 oz,,46 ml. 23L + 23R
Diaper,15/7/2017 18:40,,0:00,"Urine, Feces",,
Bottle feeding,15/7/2017 18:24,,0:00,3.0 oz,Mom's milk,3
Sleep,15/7/2017 17:59,15/7/2017 18:18,0:19,,,
Right breast,15/7/2017 17:46,15/7/2017 17:53,0:07,,,
Left breast,15/7/2017 17:37,15/7/2017 17:45,0:08,,,
Diaper,15/7/2017 16:49,,0:00,"Urine, Feces",,
Sleep,15/7/2017 15:50,15/7/2017 16:12,0:22,,,
Diaper,15/7/2017 15:20,,0:00,Urine,,
Pumping,15/7/2017 15:10,,0:00,2.44 oz,,72 ml. 35L + 37R
Bottle feeding,15/7/2017 14:52,,0:00,1.2 oz,Mom's milk,
Right breast,15/7/2017 14:02,15/7/2017 14:09,0:04,,,
Left breast,15/7/2017 13:55,15/7/2017 14:01,0:04,,,
Sleep,15/7/2017 12:56,15/7/2017 13:51,0:54,,,
Sleep,15/7/2017 11:15,15/7/2017 12:26,1:11,,,
Bottle feeding,15/7/2017 10:36,,0:00,,Mom's milk,1.5
Pumping,15/7/2017 10:24,,0:00,3.35 oz,,99 ml. 59L + 40R
Diaper,15/7/2017 10:08,,0:00,"Urine, Feces",,
Left breast,15/7/2017 09:52,15/7/2017 10:07,0:03,,,
Sleep,15/7/2017 09:47,15/7/2017 09:50,0:02,,,
Right breast,15/7/2017 09:41,15/7/2017 09:51,0:09,,,sleep eating after 6 min
Diaper,15/7/2017 09:10,,0:00,"Urine, Feces",,
Diaper,15/7/2017 08:50,,0:00,Urine,,
Bottle feeding,15/7/2017 08:38,,0:00,4.0 oz,Mom's milk,4
Bottle feeding,15/7/2017 08:37,,0:00,0.3 oz,Mom's milk,
Sleep,15/7/2017 05:38,15/7/2017 08:31,2:53,,,
Diaper,15/7/2017 05:15,,0:00,Urine,,
Pumping,15/7/2017 05:02,,0:00,4.97 oz,,147 ml. 74L + 73R
Bottle feeding,15/7/2017 04:55,,0:00,3.7 oz,Mom's milk,
Sleep,15/7/2017 04:51,15/7/2017 04:51,0:00,,,
Pumping,14/7/2017 22:21,,0:00,2.2 oz,,65 ml. 26L + 39L
Sleep,14/7/2017 22:11,15/7/2017 04:51,6:40,,,
Bottle feeding,14/7/2017 22:07,,0:00,0.5 oz,Mom's milk,1
Bottle feeding,14/7/2017 22:00,,0:00,1.3 oz,Mom's milk,1.3
Diaper,14/7/2017 21:58,,0:00,Urine,,
Bottle feeding,14/7/2017 21:00,,0:00,3.1 oz,Mom's milk,
Diaper,14/7/2017 20:45,,0:00,"Urine, Feces",,
Right breast,14/7/2017 20:36,14/7/2017 20:53,0:05,,,
Left breast,14/7/2017 20:29,14/7/2017 20:36,0:07,,,
Diaper,14/7/2017 20:15,,0:00,"Urine, Feces",,
Sleep,14/7/2017 18:50,14/7/2017 20:12,1:22,,,
Pumping,14/7/2017 17:48,,0:00,1.86 oz,,55 ml. 25L + 30R
Bottle feeding,14/7/2017 17:40,,0:00,,Mom's milk,3.1
Right breast,14/7/2017 17:31,14/7/2017 17:34,0:03,,,sleep eating
Left breast,14/7/2017 17:26,14/7/2017 17:31,0:05,,,sleep eating
Sleep,14/7/2017 15:27,14/7/2017 17:35,2:05,,,
Diaper,14/7/2017 14:41,,0:00,Urine,,
Bottle feeding,14/7/2017 14:23,,0:00,3.1 oz,Mom's milk,3.1
Right breast,14/7/2017 14:16,14/7/2017 14:18,0:01,,,
Left breast,14/7/2017 14:15,14/7/2017 14:16,0:01,,,
Pumping,14/7/2017 13:58,,0:00,1.01 oz,,30 ml.  14L + 16R
Right breast,14/7/2017 13:34,14/7/2017 13:50,0:15,,,sleep eating
Sleep,14/7/2017 13:21,14/7/2017 13:50,0:29,,,
Left breast,14/7/2017 13:18,14/7/2017 13:33,0:15,,,sleep eating after 3 min
Diaper,14/7/2017 12:35,,0:00,"Urine, Feces",,
Bottle feeding,14/7/2017 12:25,,0:00,1.5 oz,Mom's milk,1.5
Vaccination,14/7/2017 12:21,14/7/2017 12:24,0:03,,,
Bottle feeding,14/7/2017 12:16,,0:00,,Mom's milk,1.5
Bottle feeding,14/7/2017 12:08,,0:00,0.6 oz,Mom's milk,
Pumping,14/7/2017 11:36,,0:00,1.69 oz,,50 ml. 28L + 22R
Bottle feeding,14/7/2017 11:27,,0:00,,Mom's milk,
Right breast,14/7/2017 11:05,14/7/2017 11:21,0:15,,,sleep eating
Sleep,14/7/2017 10:55,14/7/2017 11:22,0:27,,,
Left breast,14/7/2017 10:50,14/7/2017 11:05,0:15,,,trying to sleep eat after 5 min
Right breast,14/7/2017 10:45,14/7/2017 10:49,0:03,,,
Diaper,14/7/2017 10:40,,0:00,Urine,,
Sleep,14/7/2017 07:33,14/7/2017 10:39,3:06,,,
Sleep,14/7/2017 07:29,,0:00,,,
Sleep,14/7/2017 07:24,,0:00,,,
Pumping,14/7/2017 07:20,,0:00,3.48 oz,,103 ml. 55L + 48R
Sleep,14/7/2017 07:19,,0:00,,,
Sleep,14/7/2017 07:15,,0:00,,,
Sleep,14/7/2017 07:14,,0:00,,,
Diaper,14/7/2017 06:47,,0:00,Urine,,
Bottle feeding,14/7/2017 06:35,,0:00,2.4 oz,Mom's milk,3
Bottle feeding,14/7/2017 06:26,,0:00,1.2 oz,Mom's milk,
Sleep,14/7/2017 02:45,14/7/2017 06:20,3:35,,,
Diaper,14/7/2017 02:40,,0:00,Urine,,
Pumping,14/7/2017 02:29,,0:00,3.01 oz,,89 ml. 46L + 43R
Bottle feeding,14/7/2017 02:25,,0:00,2.8 oz,Mom's milk,
Pumping,13/7/2017 22:26,,0:00,1.83 oz,,54 ml.  26L + 28R
Sleep,13/7/2017 22:02,14/7/2017 02:17,4:15,,,
Diaper,13/7/2017 21:50,,0:00,"Urine, Feces",,
Bottle feeding,13/7/2017 21:26,,0:00,2.4 oz,Mom's milk,3
Left breast,13/7/2017 21:22,13/7/2017 21:25,0:03,,,
Right breast,13/7/2017 21:18,13/7/2017 21:21,0:03,,,
Diaper,13/7/2017 20:02,,0:00,Urine,,
Bottle feeding,13/7/2017 19:51,,0:00,1.2 oz,Mom's milk,
Pumping,13/7/2017 19:43,,0:00,1.56 oz,,46 ml. 21L + 25R
Pumping,13/7/2017 19:40,,0:00,,,
Vaccination,13/7/2017 19:27,13/7/2017 19:30,0:02,,,
Right breast,13/7/2017 19:21,13/7/2017 19:21,0:00,,,
Left breast,13/7/2017 19:13,13/7/2017 19:20,0:06,,,
Right breast,13/7/2017 18:32,13/7/2017 18:44,0:11,,,sleep eating
Sleep,13/7/2017 17:32,13/7/2017 19:13,1:39,,,
Left breast,13/7/2017 17:32,13/7/2017 17:33,0:01,,,sleep eating
Bottle feeding,13/7/2017 17:21,,0:00,0.3 oz,Mom's milk,1.5
Bottle feeding,13/7/2017 16:52,,0:00,1.0 oz,Mom's milk,
Pumping,13/7/2017 16:28,,0:00,2.27 oz,,67 ml. 34L + 33R
Bottle feeding,13/7/2017 16:11,,0:00,1.6 oz,Mom's milk,2.6
Diaper,13/7/2017 16:01,,0:00,Urine,,
Left breast,13/7/2017 15:54,13/7/2017 16:01,0:06,,,sleep eating
Sleep,13/7/2017 15:45,13/7/2017 16:01,0:16,,,
Right breast,13/7/2017 15:43,13/7/2017 15:54,0:10,,,sleep eating after 2 min
Sleep,13/7/2017 12:38,13/7/2017 15:42,3:03,,,
Bottle feeding,13/7/2017 12:15,,0:00,1.1 oz,Mom's milk,1.1
Pumping,13/7/2017 11:47,,0:00,1.52 oz,,45 ml. 18L + 27R
Bottle feeding,13/7/2017 11:41,,0:00,0.6 oz,Mom's milk,
Right breast,13/7/2017 11:35,13/7/2017 11:37,0:02,,,sleep eating
Sleep,13/7/2017 11:33,13/7/2017 11:37,0:02,,,
Left breast,13/7/2017 11:24,13/7/2017 11:35,0:10,,,sleep eating after 8 min
Diaper,13/7/2017 11:16,,0:00,"Urine, Feces",,
Right breast,13/7/2017 11:12,13/7/2017 11:23,0:03,,,
Diaper,13/7/2017 11:07,,0:00,Urine,,
